2.00,2.00,4.00,4.00,3.00,3.00,1.00,1.00,5.00,5.00
exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
0.60,0.10,0.60,0.10,0.60,0.10,0.60,0.10,0.60,0.10
1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80
1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
false,false,false,false,false,false,false,false,false,false
0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.00,15.00,27.00,31.00,43.00,47.00,59.00,63.00,75.00,79.00
0.0842481290966,0.0718187311127,0.12437000553,0.0398560559262,0.0640993335375,0.0300083565355,0.0254523617271,0.113987244991,0.0194223148801,0.0556931278827
